Semana,Agencia_ID,Canal_ID,Ruta_SAK,Cliente_ID,Producto_ID,Demanda_uni_equil
7,1111,1,1020,4207929,73,1
8,1954,1,1206,1138805,2425,9
3,2015,1,1206,1887736,41938,2
6,1955,1,1105,1050579,1232,1
8,1127,1,1202,4344780,1109,2
7,3211,1,1414,1517954,1232,5
8,1147,4,6601,4229887,2025,5
8,1439,1,1101,442574,43197,3
7,23719,1,2802,509005,30532,5
3,2034,1,4401,1110321,43285,15
4,4046,1,2033,116656,43307,7
9,1235,1,2810,1836992,35305,4
3,1219,1,2807,4244009,40886,4
6,1471,1,1123,182234,43197,6
5,1374,4,6607,48031,5354,4
4,22414,1,2819,166091,40886,17
6,1216,1,2108,598062,30532,7
5,1350,1,1123,1467345,1064,1
7,1351,1,1254,819300,1109,2
8,1124,1,1105,166433,1232,1
7,4017,4,4908,946114,43220,1
8,1126,1,1438,4318803,1064,3
9,1549,1,1038,1537115,43231,2
3,1339,1,2801,447151,37058,2
7,2022,1,2851,788642,44371,3
8,2229,1,1004,4197247,1125,5
3,2016,1,1325,1650780,1220,1
9,1216,1,2116,438996,30532,5
5,2256,4,6607,1604122,1160,6
5,3212,1,1419,176705,1220,7
6,22362,1,1239,1409631,1278,16
9,2021,1,1210,228704,1232,1
6,1118,1,1019,439281,2665,4
4,1315,1,1271,2372389,3631,1
4,22560,1,1229,4353502,34053,3
7,2034,1,1146,248979,1250,3
6,2036,1,4404,262116,37058,10
4,1219,1,1023,1844502,1146,2
5,1120,1,2114,1410118,30575,13
5,3212,1,1026,218496,3144,1
4,24669,1,1206,2183884,43210,0
6,1219,1,1120,1345524,31423,1
6,2646,2,1515,2494698,34469,36
8,2629,1,2853,2312892,40886,4
7,1656,6,3203,728404,1212,5
7,2241,1,4101,670610,5000,2
9,1384,1,2104,1465345,31471,5
7,2080,4,6629,2246858,5354,15
5,1626,1,2104,153244,31310,8
8,1620,1,1246,4515077,1150,15
5,1118,1,1003,2171007,1150,2
9,1213,1,1608,349863,9217,0
4,2055,1,1154,140993,1284,17
3,1632,1,1103,624707,1242,6
3,1126,1,1424,9564429,1284,15
7,1113,1,1415,73785,1220,1
8,1215,1,1201,1189306,1182,3
7,1419,1,1604,179298,45111,2
5,1936,1,5003,22632,32303,5
3,1123,1,2820,1624597,31310,6
9,1955,1,1107,1499192,1238,1
9,2077,4,6606,45705,6469,2
3,2034,1,1132,640544,1250,2
8,1384,1,1112,374161,1284,8
6,1334,1,1211,2002047,1250,2
9,4017,4,4709,4680119,35711,5
7,1121,1,1054,391133,1150,2
3,1124,1,1204,391024,41938,1
8,1336,1,1155,4202191,1216,3
9,1227,1,4430,1414729,43069,5
7,2216,1,5012,687743,4245,8
7,1384,1,2126,1406476,30532,5
8,4040,1,4472,4178873,31471,2
3,1534,1,2115,2031918,31309,4
4,1351,1,2047,193630,43065,2
9,1346,1,1111,407250,43196,1
4,2013,1,1001,1986736,35727,1
4,1237,1,1001,1300844,1146,2
6,1330,1,1252,1144806,2233,2
6,1222,1,1008,2227831,46772,10
8,1970,1,1002,138837,46166,1
3,1219,1,1209,4537846,2233,4
9,1222,1,2141,53121,30532,5
3,1668,2,1543,80618,35728,48
8,1557,1,1122,23740,43200,4
7,4040,1,1002,4586831,34213,4
4,1351,1,2131,1863052,43033,4
4,22187,1,1059,232922,37210,3
8,2217,1,1261,1963841,1109,1
4,1956,1,2003,592314,43316,2
8,25759,1,2022,48058,5328,2
7,1378,1,2103,4509994,37574,4
8,1470,1,2003,2359110,43069,5
4,1232,1,2005,482806,33672,1
7,1217,1,1233,4724053,1129,3
5,1112,1,1402,330803,1278,125
3,1147,4,6610,2410622,1144,22
3,1912,1,2027,4409486,43065,2
4,1222,1,2161,2186306,30572,15
6,1420,1,1104,186817,43202,3
8,1224,1,4458,741762,37581,4
6,1212,1,2105,786459,36748,3
6,1222,1,1428,42277,1278,42
5,1912,1,1121,678213,1220,0
9,1463,1,1271,2445008,43118,1
6,1956,1,5002,1324525,40886,2
3,1220,1,1421,313738,1232,2
3,1618,1,1260,2329609,1284,1
4,1472,4,4903,2230492,43197,5
